Brand,Description,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
teamspirit,Typographic Print Shorts with Slip Pockets,Men,419,499,olive
netplay,Slim Fit Shirt with Patch Pocket,Men,504,"1,049",beige
netplay,Slim Fit 5-pocket Chinos,Men,735,"1,499",navy
levis,Slim Fit Jeans with Whiskers,Men,"1,942","2,899",blue
netplay,Flat-Front Chinos with Insert Pockets,Men,735,"1,499",olivegreen
performax,Sports Shorts with Insert Pockets,Men,599,799,darkblue
dnmx,Hooded T-shirt with Crest Embroidery,Men,384,799,blue
netplay,Slim Fit Flat-Front Trousers with Insert Pockets,Men,899,"1,499",olive
john-players,Skinny Fit Flat-Front Chinos,Men,833,"1,699",olive
netplay,Striped Cropped Chinos with Insert Pockets,Men,735,"1,499",grey
dennislingo-premium-attire,Full Sleeves Slim Fit Shirt,Men,684,"1,849",maroon
performax,Fastdry Active Raglan T-shirt,Men,389,599,ltblue
levis,Cotton Polo T-shirt,Men,"1,091","1,399",beige
levis,Mid-Rise Slim Fit Jeans,Men,"1,707","2,799",blue
netplay,Striped Polo T-shirt with Vented Hems,Men,559,699,yellow
teamspirit,Core Varsity Polo T-shirt with Contrast Tipping,Men,419,499,mustard
teamspirit,Micro Print Panelled Shorts with Insert Pockets,Men,384,799,grey
netplay,Striped Crew-Neck Full Sleeves Sweatshirt,Men,504,"1,049",navy
the-indian-garage-co,Micro Print Slim Fit Shirt with Patch Pocket,Men,490,"1,749",olive
netplay,Crew-Neck Sweatshirt with Ribbed Hems,Men,504,"1,049",navy
armani-exchange,Contrasting Gold Logo Print Crew-Neck T-Shirt,Men,"6,999","6,999",02dx
trends-tower,Pack of 3 Sleeveless Vests with Contrast Pocket,Men,"1,049","2,097",multi
performax,Quick-Dry Panelled Round-Neck Training T-shirt,Men,449,599,offwhite
levis,Mid-Wash Slim Fit Jeans,Men,"1,363","2,899",grey
the-indian-garage-co,Printed Slim Fit Shirt,Men,483,"2,099",black
dnmx,Heathered Cotton Henley T-shirt,Men,384,799,blue
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",mustard
dennislingo-premium-attire,Checked Button-Down Collar Slim-Fit Shirt,Men,750,"2,499",blue
performax,Fastdry Active Panelled Track Pants,Men,559,799,ltgrey
levis,Slim Fit Jeans with Whiskers,Men,"1,739","2,899",blue
teamspirit,Track Pants with Contrast Panels,Men,432,899,offwhite
dnmx,Polo T-shirt with Signature Branding,Men,399,499,red
netplay,Tapered Fit Flat-Front Trousers,Men,"1,599","1,599",black
netplay,Striped Briefs with Elasticated Waistband,Men,130,259,indigo
lee-cooper,Mid-Rise Washed Cropped Slim Fit Jeans,Men,"1,176","2,399",indigo
performax,Fastdry Active Polo T-shirt,Men,559,799,ltblue
netplay,Slim Fit Flat-Front Chinos,Men,624,"1,299",darkblue
netplay,Printed Polo T-shirt with Vented Hemline,Men,343,699,bluemelange
netplay,Striped Shirt with Patch Pocket,Men,599,999,navy
u-s-polo-assn-,Mid-Wash Slim Fit Jeans,Men,"1,674","2,499",blue
dnmx,Lightly Washed Denim Shorts with Drawstring,Men,749,999,grey
armani-exchange,Logo Print Regular Fit T-shirt,Men,"4,099","4,999",black
levis,Mid-Wash Slim Fit Jeans,Men,"1,652","2,899",blue
netplay,Striped Slim Fit Polo T-shirt with Cutaway Collar,Men,559,699,maroon
netplay,Flat-Front Tapered Chinos,Men,637,"1,299",jetblack
netplay,Slim Fit Flat-Front Trousers,Men,799,999,khaki
performax,Quickdry Crew-Neck T-shirt,Men,294,599,mediumblue
puma,Logo Print T-shirt with Crew-Neck,Men,600,"1,499",black
dnmx,Printed Skinny Shorts with Insert Pockets,Men,441,899,khaki
dnmx,Polo T-shirt with Signature Branding,Men,399,499,coral
dnmx,Knitted Crew-Neck Pullover,Men,624,"1,299",mustard
dnmx,Checked Cotton Shirt with Patch Pocket,Men,480,999,mediumblue
the-indian-garage-co,Lightly Washed Slim Fit Jeans,Men,660,"1,999",blue
performax,Colourblock Crew-Neck T-shirt,Men,449,599,jetblack
the-indian-garage-co,Printed Slim Fit Shirt with Patch Pocket,Men,490,"1,749",white
levis,512 Light-Washed Slim Tapered Fit Jeans,Men,"2,811","3,699",black
superdry,Training Core Sport Joggers with Insert Pockets,Men,"2,599","4,999",02a
teamspirit,Striped Crew-Neck T-shirt,Men,245,499,blue
netplay,Solid Cotton Polo T-shirt,Men,559,699,black
netplay,Striped Polo T-shirt with Contrast Tipping,Men,559,699,blue
netplay,Striped Shirt with Band Collar,Men,599,999,khaki
performax,Fastdry Active Polo T-shirt,Men,559,799,darkblue
lee-cooper,Mid-Rise Washed Slim Fit Jeans,Men,784,"1,599",indigo
netplay,Striped Cotton Shirt with Patch Pocket,Men,490,999,red
dnmx,Heathered Crew-Neck Full Sleeves Sweatshirt,Men,450,899,blue
teamspirit,Varsity Waffle Crew-Neck T-shirt,Men,343,699,navy
u-s-polo-assn-,Washed Skinny Fit Jeans,Men,980,"1,999",blue
netplay,Oxford Shirt With Button-Down Collar,Men,799,999,blue
teamspirit,Typographic Print Crew-Neck T-shirt,Men,288,599,maroon
teamspirit,Basketball Shorts with Elasticated Waistband,Men,392,799,navy
netplay,Checked Band-Collar Shirt with Patch Pocket,Men,490,999,red
teamspirit,Typographic Print Shorts with Slip Pockets,Men,419,499,maroon
performax,Typographic Print Track Pants with Insert Pockets,Men,974,"1,299",medgrey
teamspirit,Crew-Neck T-shirt with Thumbhole Sleeves,Men,587,699,charcoal
dennislingo-premium-attire,Full Sleeves Slim Fit Shirt,Men,684,"1,849",blue
teamspirit,Striped Crew-Neck T-shirt,Men,461,549,navy
puma,Logo Print T-shirt with Crew-Neck,Men,600,"1,499",red
teamspirit,Speckled Shorts with Slant Pockets,Men,384,799,navy
netplay,Round-Neck Thermal Vest,Men,135,269,blackcharcoal
performax,Panelled Crew-Neck T-shirt,Men,299,499,navy
campus-sutra,Mid-Wash Jogger Jeans with 5-pocket Styling,Men,850,"1,699",navy
netplay,Flat-Front Slim Fit Chinos,Men,799,999,stone
netplay,Crew-Neck Sweatshirt with Ribbed Hems,Men,480,999,black
u-s-polo-assn-,Shirt with Patch Pocket,Men,980,"1,999",rust
fort-collins,Pack of 2 Track Pants with Insert Pockets,Men,720,"1,599",blackgrey
dnmx,Lightly Washed Ankle-Length Skinny Jeans,Men,816,"1,699",mediumblue
hubberholme,Mandarin Collar Shirt with Patch Pocket,Men,650,"1,299",white
dnmx,Mid-Rise Skinny Jeans,Men,899,"1,499",black
the-indian-garage-co,Heavily Washed Slim Fit Jeans,Men,660,"1,999",blue
nike,Flat-Front Shorts with Elasticated Waist,Men,896,995,blue
dnmx,Knitted Crew-Neck Pullover,Men,624,"1,299",green
levis,Mid-Wash Slim Fit Jeans,Men,"1,305","2,899",grey
john-players,Slim Fit Flat-Front Trousers,Men,779,"1,299",jetblack
fort-collins,Track Pants with Contrast Piping,Men,423,799,black
performax,Typographic Print Crew-Neck T-shirt,Men,280,699,red
netplay,Tropical Print City Shorts,Men,674,899,mediumblue
the-indian-garage-co,Mid-Wash Distressed Slim Fit Jeans,Men,660,"1,999",blue
netplay,Geometric Pattern Slim Fit Polo T-shirt,Men,599,799,mediumblue
netplay,Striped Blazer with Notched Lapel,Men,"1,715","3,499",navy
u-s-polo-assn-,Skinny Jeans with Button Closure,Men,"1,099","1,999",blue
netplay,Striped Polo T-shirt with Cut-Away Collar,Men,559,699,red
the-indian-garage-co,Checked Slim Fit Shirt,Men,490,"1,749",navy
the-indian-garage-co,Lightly Washed Low-Rise Slim Fit Jeans,Men,644,"2,299",blue
the-indian-garage-co,Leaf Print Slim Fit Shirt with Patch Pocket,Men,490,"1,749",navy
campus-sutra,Checked Crew-Neck T-shirt,Men,450,999,grey
the-indian-garage-co,Lightly Washed Distressed Slim Fit Jeans,Men,644,"2,299",gray
dnmx,Henley T-shirt with Patch Pocket,Men,359,599,black
the-indian-garage-co,Flat-Front City Shorts with Insert Pockets,Men,528,"1,599",green
netplay,Striped Shirt with Patch Pocket,Men,599,999,navy
netplay,Shirt with Patch Pocket,Men,839,"1,049",white
vogueorgy,Graphic Print Crew-Neck T-shirt,Men,649,999,white
the-indian-garage-co,Printed Slim Fit Shirt,Men,490,"1,749",black
netplay,Slim Fit Cropped Chino Pants with Slip Pockets,Men,637,"1,299",beige
teamspirit,Printed Three-Fourth Shorts,Men,392,799,offwhite
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",brown
netplay,Tapered Fit Flat-Front Trousers,Men,899,"1,499",navy
performax,Crew-Neck Sleeveless T-shirt,Men,299,499,blue
performax,Fastdry Active Crew-Neck T-shirt,Men,374,499,olive
lee-cooper,Brand Print V-neck T-shirt,Men,419,599,navy
the-indian-garage-co,Checked Slim Fit Shirt with Patch Pocket,Men,490,"1,749",gray
levis,Logo Print Crew-Neck T-shirt,Men,615,"1,099",white
netplay,Pack of 2 Briefs,Men,349,349,blackcharcoal
spykar,Slim Fit Flat-Front Chinos,Men,"1,150","2,499",grey
napra,Floral Print A-line Kurta,Women,"1,079","1,799",pink
zola,Chikankari Embroidered Straight Kurta,Women,"1,007","3,050",blue
zola,Straight Kurta with Insert Pockets,Women,816,"1,275",yellow
anaita,Striped Tunic with Ruffled Detail,Women,448,998,peach
v-star,T-shirt Bra,Women,283,283,black
zikaraa,Traditional Saree with Blouse Piece,Women,"1,350","2,699",navy
koi-sleepwear,Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",black
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",navy
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",blue
koi-sleepwear,Floral Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",green
koi-sleepwear,Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",purple
zola,Chikankari Embroidered Straight Kurta,Women,"1,007","3,050",yellow
koi-sleepwear,Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",indigo
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",pink
anaita,V-neck Floral Print Top ,Women,494,"1,299",peach
koi-sleepwear,Floral Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",red
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",maroon
blazon,Mid-thigh Length V-Neck Slip,Women,549,999,yellow
sushil,Round Neck Straight Kurti,Women,665,950,orange
levis,711 Mid-Rise Skinny Jeans,Women,900,"1,999",grey
koi-sleepwear,Floral Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",yellow
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",red
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",maroon
koi-sleepwear,Embroidered Round-Neck Nightgown ,Women,"1,297","2,199",pink
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",blue
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",peach
indie-picks,South Silk Striped Dupatta,Women,168,399,blue
napra,Floral Print Straight Kurta,Women,959,"1,599",maroon
kappa,Solid Crew-Neck T-shirt,Women,400,799,purple
buynewtrend,Striped Top with Dungaree,Women,615,"1,499",pink
fame-forever-by-lifestyle,Typographic Print Round-Neck Top,Women,299,299,olive
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",burgundy
charu,Block Print Straight Kurta,Women,536,"1,699",pink
koi-sleepwear,Embroidered Nightgown with Insert Pockets,Women,"1,297","2,199",red
rangriti,Floral Print Straight Kurta,Women,"1,199","1,199",coral
indie-picks,Handblock Print Bagru Pure Chanderi Saree,Women,"6,499","6,499",multi
tommy-hilfiger,Logo Print Organic Cotton Tank Top,Women,"1,023","1,599",navy
tommy-hilfiger,Tapered Fit Flat-Front Trousers,Women,"3,119","3,999",white
tommy-hilfiger,Joggers with Drawstring Waist,Women,"3,119","3,999",black
levis,Mid-Rise Straight Fit Jeans,Women,"2,751","4,299",blue
tommy-hilfiger,Flat-Front Slim Fit Jeans,Women,"3,471","5,599",denim
tommy-hilfiger,Washed Cargo Joggers with Drawstring Waist,Women,"3,587","4,599",blue
tommy-hilfiger,Textured A-line Dress,Women,"3,199","4,999",grey
marks-spencer,V-neck T-shirt with Drop Shoulder Sleeves,Women,714,"1,299",blue
tommy-hilfiger,Slim Fit Scoop-Neck T-shirt,Women,810,"1,799",blue
tommy-hilfiger,V-neck Top with Cuffed Sleeves,Women,"2,599","3,999",black
tommy-hilfiger,Ribbed High-Neck Skinny Fit T-shirt,Women,"1,350","2,999",red
tommy-hilfiger,Shirt with Ruffle Trims,Women,"2,599","3,999",white
tommy-hilfiger,Organic Cotton Crew-Neck T-shirt,Women,"1,429","2,199",white
tommy-hilfiger,Brand Print Crew-Neck T-shirt,Women,810,"1,799",black
tommy-hilfiger,V-neck Slim T-shirt,Women,720,"1,599",blue
indie-picks,Handblock Print Bagru Pure Chanderi Saree,Women,"6,499","6,499",green
tommy-hilfiger,Brand Print Organic Cotton Crew-Neck T-shirt,Women,"1,299","1,999",white
trendyol,Pack of 2 Crew-Neck T-shirts,Women,630,"1,799",multicolour
tommy-hilfiger,Houndstooth Print Organic Cotton Crew-Neck T-shirt,Women,"1,689","2,599",red
tommy-hilfiger,V-neck Top with Cuffed Sleeves,Women,"2,599","3,999",blue
marks-spencer,Floral Print Off-Shoulder Flared Dress,Women,"1,374","2,499",gold
marks-spencer,Slim Fit Crew-Neck T-shirt,Women,824,"1,499",raspberry
kica,Colourblock Mid-Rise Shorts,Women,"1,300","1,300",purple
anaita,Embroidered Straight Kurti,Women,449,"1,229",brown
tommy-hilfiger,Cotton Polo T-shirt,Women,"1,169","1,799",blue
tommy-hilfiger,Top with Notched Neckline,Women,"2,599","3,999",red
tommy-hilfiger,Brand Print Organic Cotton Round-Neck T-shirt,Women,"1,169","1,799",pink
levis,311 Mid-Rise Skinny Fit Jeans,Women,"2,794","4,299",blue
hummel,Typographic Printed Relaxed Fit T-shirt,Women,650,"1,299",white
tommy-hilfiger,Slim Fit Cotton Polo T-shirt,Women,"1,169","1,799",pink
ginger-by-lifestyle,Abstract Print Crop Top,Women,650,"1,299",pink
w,Embroidered Crop Top with Flared Skirt,Women,"3,520","7,999",blue
w,Straight Kurta with Sheer Jacket,Women,"1,232","2,799",white
blissta,Printed Traditional Saree ,Women,"1,899","7,595",pink
blissta,Saree with Contrast Border,Women,"1,799","7,195",peach
blissta,Paisley Print Traditional Saree ,Women,"1,199","4,795",yellow
blissta,Traditional Saree with Blouse Piece,Women,"1,799","7,195",grey
blissta,Traditional Saree with Blouse Piece,Women,"1,799","7,195",green
blissta,Embellished Saree with Blouse Piece,Women,"1,699","6,795",peach
blissta, Georgette Sequence Saree ,Women,"1,699","6,795",maroon
blissta,Saree with Contrast Border,Women,"1,799","7,195",pink
blissta,Saree with Contrast Border,Women,"1,799","7,195",green
blissta,Traditional Saree with Blouse Piece,Women,"1,499","5,995",blue
blissta,Traditional Saree with Blouse Piece,Women,"1,499","5,995",pink
blissta,Embellished Saree with Blouse Piece,Women,"1,699","6,795",black
blissta,Printed Traditional Saree ,Women,"1,899","7,595",orange
blissta,Embellished Saree with Blouse Piece,Women,"1,699","6,795",black
blissta,Saree with Contrast Border,Women,"1,799","7,195",orange
blissta,Embellished Saree with Blouse Piece,Women,"2,199","8,795",black
blissta,Traditional Saree with Blouse Piece,Women,"1,799","7,195",pink
blissta,Traditional Saree with Blouse Piece,Women,"1,799","7,195",yellow
blissta,Traditional Saree with Blouse Piece,Women,"1,799","7,195",blue
uptownie-lite,Solid Round Neck Tie Up Top,Women,300,"1,499",purple
uptownie-lite,Geometric Print Puff Sleeves  Top,Women,390,"1,499",black
uptownie-lite,Floral Print Round-Neck Tie Up Top,Women,345,"1,499",yellow
uptownie-lite,Floral Print Puff Sleeves  Top,Women,390,"1,499",orange
armani-exchange,Cotton T-shirt Dress,Women,"6,749","8,999",871
american-eagle-outfitters,Crochet Square-Neck Lace Top,Women,"1,200","2,999",blue
van-heusen,Graphic Print Crew-Neck T-shirt,Women,450,899,white
ishin,Embellished Fit and Flare Dress,Women,"2,493","4,299",black
van-heusen,Textured Sleeveless Top with Front Pleats,Women,525,"1,049",navy
american-eagle-outfitters,Floral Print Square-Neck Top,Women,"1,500","2,999",blue
armani-exchange,Logo Print Cuffed Trackpants with Drawstring,Women,"7,499","9,999",1200
van-heusen,Round-Neck Top with Pleats,Women,"1,104","1,299",navy
allen-solly,Crew-Neck Top with Typography,Women,539,899,peach
van-heusen,Graphic Print Crew-Neck T-shirt,Women,522,745,white
allen-solly,Sleeveless Layered Floral Print Top,Women,779,"1,299",red
van-heusen,Printed Sleeveless Top,Women,892,"1,049",brown
armani-exchange,Logo Print Round-Neck T-shirt,Women,"5,999","7,999",1200
van-heusen,Graphic Print Round-Neck Top,Women,425,849,green
allen-solly,Sleeveless Layered Top,Women,520,"1,299",yellow
allen-solly,Printed Tank Top,Women,539,899,navy
united-colors-of-benetton,Typographic Round Neck T-shirt,Women,"1,154","1,499",white
united-colors-of-benetton,Short Sleeve Round-Neck Top,Women,"1,154","1,499",black
ishin,Printed Anarkali Kurta,Women,"1,000","2,499",pink
kami-kubi,Printed Top with Notched Neckline,Women,839,"1,399",blue
kami-kubi,Printed Round-Neck Top,Women,959,"1,599",blue
superdry,T&F Hood Dress,Women,"5,249","6,999",04q
kazo,Button-down Shirt with Patch Pockets,Women,955,"1,990",navy
van-heusen,Floral Print Round-Neck Top,Women,509,849,yellow
van-heusen,Checked Sleeveless Top,Women,525,"1,049",multi
van-heusen,Abstract Print Top with Tie-Knot Front,Women,650,"1,299",cream
van-heusen,Checked Button-Down V-neck Top,Women,750,"1,499",beige
van-heusen,Checked V-neck Top,Women,750,"1,499",multi
allen-solly,Top with Notched Neckline,Women,"1,599","1,999",navy
anubhutee,Printed Straight Kurta Set,Women,750,"2,499",red
campus-sutra,Solid Regular Fit  Sweatshirt,Women,740,"1,999",brown
superdry,Tie & Dye Jacket with Flap Pockets,Women,"9,749","12,999",6cq
superdry,Script Style WW Foil Crew-Neck T-shirt,Women,"2,699","3,599",02a
instafab-plus,Striped Nightwear Set,Women,960,"2,399",red
superdry,VL Tonal Logo Print Crew-Neck Sweatshirt,Women,"3,749","4,999",5os
van-heusen,Checked Shirt with Lapel Collar,Women,974,"1,499",maroon
van-heusen,Round-Neck Top with Tie-Up Neckline,Women,750,"1,499",purple
allen-solly,Floral Print Top,Women,779,"1,299",green
van-heusen,V-neck Sleeveless Top,Women,974,"1,499",beige
ishin,Embellished Straight Kurta,Women,"2,415","5,749",pink
triveni,Printed Georgette Saree with Tassels ,Women,"2,232","6,199",green
van-heusen,Checked Top with Tie-Up Neckline,Women,750,"1,499",brown
tag-7-plus,Floral Print Flared Palazzos,Women,992,"3,199",navy
van-heusen,Printed Top with Tie-Up Neckline,Women,779,"1,299",black
instafab-plus,Heathered Joggers with Patch Pockets ,Women,924,"2,199",black
instafab-plus,Striped Nightwear Set,Women,960,"2,399",black
kazo,Solid Jeggings,Women,796,"1,990",black
gosriki,Floral Print Straight Kurta Set,Women,599,"2,395",pink
fck-3,Dyed/Washed Skinny Jeans,Women,"1,349","1,499",grey
abhishti,Solid Blouson Top,Women,"1,199","1,599",maroon
instafab-plus,High-Rise Slim Fit Jeans,Women,"1,000","2,499",blue
instafab-plus,High-Rise Slim Fit Jeans,Women,"1,000","2,499",black
superdry-sport,Sports Core Gym Tech Zip-Front Hooded Sweatshirt,Women,"3,500","6,999",3eb
innersense,Non-Padded Bra with Cutout,Women,749,749,beige
instafab-plus,Heathered Joggers with Elasticated Waist,Women,924,"2,199",maroon
instafab-plus,Fitted Joggers with Elasticated Waist,Women,924,"2,199",maroon
twin-birds,Leggings with Branding,Women,599,599,pink
instafab-plus,Heathered Jogger Pants,Women,924,"2,199",black
instafab-plus,Printed Joggers with Elasticated Waist,Women,924,"2,199",black
campus-sutra,Colourblock Round-Neck Cotton Top,Women,467,899,brown
instafab-plus,High-Rise Slim Fit Distressed Jeans,Women,"1,050","2,499",black
instafab-plus,Printed Joggers with Elasticated Waist,Women,924,"2,199",grey
instafab-plus,Solid Fitted Joggers,Women,924,"2,199",grey
campus-sutra, Solid Regular Fit Hoodie,Women,883,"1,699",maroon
campus-sutra,Striped  Printed Full Sleeve Hoodie,Women,"1,039","1,999",white
united-colors-of-benetton,Micro Print Mandarin Collar Shirt,Women,"2,230","2,299",blue
united-colors-of-benetton,Micro Print Mandarin Collar Shirt,Women,"2,230","2,299",yellow
superdry,Colourblock Zip-Front Sweatshirt,Women,"6,749","8,999",07q
superdry,Slim Fit Round-Neck Shift Dress,Women,"5,529","6,999",5br
instafab-plus,High-Rise Slim Fit Jeans,Women,"1,000","2,499",blue
max,Textured Round-Neck T-shirt,Women,399,399,grey
campus-sutra,Striped Printed Regular fit  Hoodie,Women,883,"1,699",multi
melange-by-lifestyle,Paisley Print A-line Kurta,Women,400,799,beige
campus-sutra,Zip-Front Hoodie with Insert Pockets,Women,883,"1,699",olive
campus-sutra,Colour-blocked Printed Regular Fit  Sweatshirt,Women,883,"1,699",multi
fck-3,Skinny Jeans with Insert Pockets,Women,"1,349","1,499",indigo
uptownie-lite,Solid Round-Neck Tie Up Top,Women,300,"1,499",white
armani-exchange,Joggers with Signature Branding,Women,"7,559","13,999",black
superdry,Frankie Star Print Shirt with Patch Pocket,Women,"2,500","4,999",yn5
silk-land,Traditional Saree with Contrast Border,Women,"2,475","4,125",yellow
ishin,Embellished A-line Dress with Neckline Tie-Up,Women,"1,574","2,499",black
superdry,Oversized T-shirt Dress,Women,"4,499","5,999",opi
armani-exchange,Graphic Print Slim Fit Crew-Neck T-shirt,Women,"3,509","6,499",opticwhite
blissta,Floral Pattern Semi-Stitched Straight Dress Material,Women,"1,551","5,169",orange
blissta,Paisley Print Semi-Stitched Straight Dress Material,Women,"1,499","5,169",yellow
blissta,Cotton Silk Saree with Contrast Border,Women,679,"2,059",magenta
blissta,Checked Cotton Silk Saree,Women,584,"1,719",blue
blissta,Checked Semi-stitched Straight Dress Material,Women,"1,392","4,799",red
armani-exchange,Slim Fit V-neck Pullover with Ribbed Cuffs,Women,"3,779","6,999",bc06alloyhtr
armani-exchange,Logo Print Sleeveless Crew-Neck T-shirt,Women,"1,619","2,999",coral
gosriki,Embellished Straight Fit  Kurta Set,Women,799,"3,196",navy
uptownie-lite,Sleeveless Jumpsuit with Waist Tie-up,Women,828,"2,299",green
superdry,Spread-Collar Denim Shirt with Flap Pockets,Women,"4,499","5,999",fen
clovia,Cotton Bra & Panty Set Lace Panel,Women,714,"1,098",black
campus-sutra, Reular Fit Full Sleeve  Hoodie,Women,940,"1,999",black
replay,Rose Label Printed Oversized T-shirt,Women,"3,999","3,999",1
campus-sutra,Heathered Full-Length Track Pant,Women,705,"1,499",grey
buynewtrend,Slim Fit Top with Contrast Sleeves,Women,546,"1,399",navy
da-intimo,Lacy Bra with Boyshorts,Women,460,999,black
instafab-plus,Heathered Joggers with Patch Pockets ,Women,924,"2,199",maroon
satrani,Pack of 2 Printed 3-piece Unstitched Dress Material,Women,"1,033","2,899",pink
tommy-hilfiger,Crew-Neck T-shirt with Embroidered Logo,Women,"1,259","1,999",blue
tommy-hilfiger,Crew-Neck T-shirt with Signature Stripes,Women,"1,259","1,999",blue
tommy-hilfiger,Round-Neck Organic Cotton T-shirt,Women,"1,275","2,199",pink
tommy-hilfiger,Polo T-shirt with Spread Collar,Women,"1,889","2,999",blue
marks-spencer,Slim Fit Crew-Neck Top with Puff Sleeves,Women,"1,500","2,999",red
united-colors-of-benetton,Typographic Round Neck T-shirt,Women,"1,139","1,499",black
tommy-hilfiger,Scoop-Neck Crop Tank Top,Women,"1,259","1,799",white
belle-fille,Off-Shoulder Maxi Dress,Women,950,"1,899",blue
belle-fille,Indian Print Top,Women,600,"1,199",navy
belle-fille,3/4th Sleeves V-Neck Top,Women,600,"1,199",black
belle-fille,Chevron Print Top,Women,600,"1,199",blue
belle-fille,Floral Print Mid-Rise City Shorts,Women,600,"1,199",blue
belle-fille,Full Sleeves Jumpsuit,Women,"1,000","1,999",green
belle-fille,Sleeveless Top with Lace Accent,Women,600,"1,199",blue
beverly-blues,Colourblock A-line Dress,Women,760,"1,899",black
belle-fille,Relaxed Fit Top with Short Sleeves,Women,600,"1,199",red
belle-fille,Striped 3/4th Sleeves Top,Women,600,"1,199",multi
saanjh,Straight Kurta with Notched Neckline,Women,630,"1,799",grey
saanjh,Striped Round-Neck Straight Kurta,Women,630,"1,799",blue
label-ritu-kumar,Off-Shoulder Tiered Dress,Women,"2,240","2,800",mustard
label-ritu-kumar,Top with Lace Inserts,Women,"2,320","2,900",black
label-ritu-kumar,Floral Print Band-Collar Shirt with Camisole,Women,"3,360","4,200",yellow
ed-hardy,Printed Crew-Neck T-shirt,Women,720,"1,599",black
sugr,Front-Pleat Trousers with Fabric Belt,Women,899,899,blue
teamspirit,Striped Round-Neck Sweater,Women,999,999,navy
indie-picks,South Cotton Saree with Zari Border,Women,780,"1,999",multi
dnmx,Striped Tiered Shirt Dress,Women,999,999,blue
nehamta,Geometric Print Straight Kurta Set,Women,"1,391","3,974",yellow
enamor,Non-Padded Non-Wired Full-Coverage Bra,Women,779,779,ltpink
nehamta,Geometric Print Straight Kurta,Women,706,"1,766",black
nehamta,Embellished Straight Kurta Suit Set,Women,"1,476","2,734",multi
kraus,Mid-Rise Slim Fit Capris,Women,"1,595","1,595",black
crimsoune-club-women,Striped Round-Neck Top,Women,"1,599","1,599",navy
kraus,Striped Top with Front Tie-Up,Women,999,999,offwhite
fig,Striped Boat-Neck Pullover,Women,899,899,ltpink
kappa,Full-length Basic  Leggings,Women,400,799,pink
max,Striped Round-Neck T-shirt,Women,449,449,multi
project-eve,Mid-Wash High-Rise Jeans,Women,"1,799","1,799",grey
kraus,Striped Top with Drop Shoulder Sleeves,Women,"1,049","1,049",black
max,Mid-Rise Capris,Women,449,449,pink
max,Graphic Print Crew-Neck T-shirt  ,Women,499,499,green
max,Typography Print Crew-Neck T-shirt,Women,599,599,white
wisstler,Floral Print Front-Open Jacket,Women,598,"1,199",grey
wisstler,Graphic Print Front-Open Jacket,Women,699,999,cream
wisstler,Stripes Shrug,Women,500,999,brown
wisstler,Floral Print Front-Open Jacket,Women,499,999,green
wisstler,Cotton Front-Open Jacket,Women,499,999,pink
wisstler,Front Open Shrug,Women,500,999,green
wisstler,Graphic Print Front Open Shrug,Women,500,999,white
wisstler,Striped Front Open Shrug,Women,500,999,white
replay,Eco Pencil Skirt with Belt,Women,"17,999","17,999",98
wisstler,Floral Print Front-Open Jacket,Women,598,"1,199",rust
wisstler,Stripes Shrug,Women,500,999,pink
wisstler,Floral Print Front-Open Jacket,Women,598,"1,199",black
wisstler,Front Open Shrugs,Women,500,999,yellow
wisstler,Front Open Shrug,Women,500,999,pink
wisstler,Floral Print A-Line Smocked Dress,Women,882,"1,799",white
wisstler,Floral Print Fit & Flare Dress ,Women,799,"1,699",pink
wisstler,Graphic Print Front-Open Jacket,Women,695,"1,199",navy
wisstler,Heathered Front-Open Jacket,Women,499,999,blue
wisstler,Polka-Dot Print A-line Dress,Women,882,"1,799",brown
barrels-and-oil,Cotton Joggers with Drawstring Waist,Women,"2,699","2,699",black
siyahi,Printed Straight Kurta,Women,599,599,yellow
siyahi,Printed A-line Kurta,Women,899,899,black
siyahi,Printed Flared Kurta with Contrast Yoke,Women,999,999,black
tara-and-i,Jacket with Waist Tie-Up,Women,"8,500","8,500",blue
silvertraq,Ankle-Length Culottes with Insert Pockets ,Women,"1,149","1,549",black
